run_number,activation,optimizer,structure,dataset,mse_train,mse_val,mse_test,epochs_run,fit_time_sec
9,relu,AdamW,"[32, 16]",Dane1_raw,0.199993,0.18428,0.203007,126,17.5
10,relu,AdamW,"[32, 16]",Dane1_raw,0.483141,0.466382,0.468413,11,2.43
1,relu,AdamW,"[32, 16]",Dane2_standardise,0.004048,0.001591,0.002533,49,6.58
2,relu,AdamW,"[32, 16]",Dane2_standardise,0.00786,0.005506,0.007375,35,5.02
3,relu,AdamW,"[32, 16]",Dane2_standardise,0.007545,0.007545,0.00764,34,4.92
4,relu,AdamW,"[32, 16]",Dane2_standardise,0.000484,0.000252,0.000416,239,27.95
5,relu,AdamW,"[32, 16]",Dane2_standardise,0.00789,0.005305,0.007774,38,5.36
6,relu,AdamW,"[32, 16]",Dane2_standardise,0.000335,0.000196,0.000148,275,31.92
7,relu,AdamW,"[32, 16]",Dane2_standardise,0.000572,0.000445,0.000652,224,26.2
8,relu,AdamW,"[32, 16]",Dane2_standardise,0.000648,0.000269,0.00077,171,20.23
9,relu,AdamW,"[32, 16]",Dane2_standardise,0.00885,0.003267,0.006918,42,5.8
10,relu,AdamW,"[32, 16]",Dane2_standardise,0.009742,0.006221,0.009599,33,4.83
1,relu,AdamW,"[32, 16]",Dane2_raw,0.000562,0.000431,0.000374,197,23.09
2,relu,AdamW,"[32, 16]",Dane2_raw,0.000889,0.000482,0.000694,218,25.53
3,relu,AdamW,"[32, 16]",Dane2_raw,0.001477,0.00079,0.000989,292,33.91
4,relu,AdamW,"[32, 16]",Dane2_raw,0.000701,0.000518,0.000464,206,24.19
5,relu,AdamW,"[32, 16]",Dane2_raw,0.001152,0.000776,0.000799,192,22.81
6,relu,AdamW,"[32, 16]",Dane2_raw,0.000471,0.000392,0.000274,429,49.27
7,relu,AdamW,"[32, 16]",Dane2_raw,0.001043,0.000686,0.000779,139,16.73
8,relu,AdamW,"[32, 16]",Dane2_raw,0.001578,0.001011,0.001083,257,29.83
9,relu,AdamW,"[32, 16]",Dane2_raw,0.000511,0.000409,0.00033,191,22.47
10,relu,AdamW,"[32, 16]",Dane2_raw,0.000577,0.00039,0.000374,142,16.99
1,relu,AdamW,"[32, 32]",Dane1_standardise,0.46342,0.487761,0.459737,11,2.53
2,relu,AdamW,"[32, 32]",Dane1_standardise,0.18404,0.190319,0.19461,100,13.95
3,relu,AdamW,"[32, 32]",Dane1_standardise,0.215519,0.2097,0.218703,98,13.7
4,relu,AdamW,"[32, 32]",Dane1_standardise,0.191473,0.182732,0.195737,103,14.39
5,relu,AdamW,"[32, 32]",Dane1_standardise,0.192908,0.210255,0.202549,83,11.77
6,relu,AdamW,"[32, 32]",Dane1_standardise,0.463001,0.484977,0.457858,11,2.47
7,relu,AdamW,"[32, 32]",Dane1_standardise,0.178958,0.166825,0.184496,113,15.67
8,relu,AdamW,"[32, 32]",Dane1_standardise,0.470112,0.505803,0.466862,11,2.44
9,relu,AdamW,"[32, 32]",Dane1_standardise,0.475772,0.473813,0.463959,11,4.55
10,relu,AdamW,"[32, 32]",Dane1_standardise,0.455286,0.508621,0.457472,11,2.48
1,relu,AdamW,"[32, 32]",Dane1_raw,0.478207,0.487676,0.469153,11,2.46
2,relu,AdamW,"[32, 32]",Dane1_raw,0.225418,0.228368,0.225637,82,11.62
3,relu,AdamW,"[32, 32]",Dane1_raw,0.447156,0.465677,0.438049,34,5.68
4,relu,AdamW,"[32, 32]",Dane1_raw,0.185438,0.195082,0.194803,108,15.58
5,relu,AdamW,"[32, 32]",Dane1_raw,0.463751,0.491736,0.460687,13,2.91
6,relu,AdamW,"[32, 32]",Dane1_raw,0.20036,0.204325,0.206985,106,14.78
7,relu,AdamW,"[32, 32]",Dane1_raw,0.198422,0.191402,0.203366,107,15.02
8,relu,AdamW,"[32, 32]",Dane1_raw,0.165248,0.160808,0.172103,151,20.79
9,relu,AdamW,"[32, 32]",Dane1_raw,0.47151,0.4907,0.467912,12,2.61
10,relu,AdamW,"[32, 32]",Dane1_raw,0.476548,0.473543,0.465727,14,2.93
1,relu,AdamW,"[32, 32]",Dane2_standardise,0.000622,0.000357,0.000925,175,20.91
2,relu,AdamW,"[32, 32]",Dane2_standardise,0.000636,0.000237,0.000871,207,24.59
3,relu,AdamW,"[32, 32]",Dane2_standardise,0.011977,0.007417,0.00947,25,4.06
4,relu,AdamW,"[32, 32]",Dane2_standardise,0.015508,0.007106,0.012755,20,3.33
5,relu,AdamW,"[32, 32]",Dane2_standardise,0.008066,0.007392,0.007584,32,4.71
6,relu,AdamW,"[32, 32]",Dane2_standardise,0.008686,0.005188,0.008082,31,4.61
7,relu,AdamW,"[32, 32]",Dane2_standardise,0.009967,0.008655,0.00994,28,4.29
8,relu,AdamW,"[32, 32]",Dane2_standardise,0.007431,0.006825,0.007082,32,4.72
9,relu,AdamW,"[32, 32]",Dane2_standardise,0.010719,0.007131,0.008241,24,3.77
10,relu,AdamW,"[32, 32]",Dane2_standardise,0.007035,0.007109,0.008675,38,5.37
1,relu,AdamW,"[32, 32]",Dane2_raw,0.000685,0.000476,0.000398,211,24.89
2,relu,AdamW,"[32, 32]",Dane2_raw,0.000726,0.000472,0.000534,194,22.97
3,relu,AdamW,"[32, 32]",Dane2_raw,0.000709,0.000466,0.000513,138,16.68
4,relu,AdamW,"[32, 32]",Dane2_raw,0.001411,0.000934,0.001062,240,28.11
5,relu,AdamW,"[32, 32]",Dane2_raw,0.000294,0.000175,0.000165,185,21.92
6,relu,AdamW,"[32, 32]",Dane2_raw,0.000443,0.000324,0.000278,228,26.7
7,relu,AdamW,"[32, 32]",Dane2_raw,0.000545,0.000417,0.000351,180,21.47
8,relu,AdamW,"[32, 32]",Dane2_raw,0.000576,0.000465,0.000437,206,24.33
9,relu,AdamW,"[32, 32]",Dane2_raw,0.000711,0.00054,0.00048,91,11.55
10,relu,AdamW,"[32, 32]",Dane2_raw,0.000492,0.000386,0.000307,108,13.34
1,relu,AdamW,"[64, 64, 32]",Dane1_standardise,0.009078,0.014422,0.004427,123,17.46
2,relu,AdamW,"[64, 64, 32]",Dane1_standardise,0.012832,0.015622,0.007507,141,19.89
3,relu,AdamW,"[64, 64, 32]",Dane1_standardise,0.008448,0.012055,0.003115,218,29.94
4,relu,AdamW,"[64, 64, 32]",Dane1_standardise,0.010689,0.014733,0.005379,159,22.23
5,relu,AdamW,"[64, 64, 32]",Dane1_standardise,0.008183,0.010995,0.002107,138,19.53
6,relu,AdamW,"[64, 64, 32]",Dane1_standardise,0.011271,0.015516,0.00659,166,23.37
7,relu,AdamW,"[64, 64, 32]",Dane1_standardise,0.010817,0.014327,0.006514,143,20.16
8,relu,AdamW,"[64, 64, 32]",Dane1_standardise,0.011719,0.014664,0.005859,132,18.95
9,relu,AdamW,"[64, 64, 32]",Dane1_standardise,0.009432,0.010265,0.003267,171,23.89
10,relu,AdamW,"[64, 64, 32]",Dane1_standardise,0.008842,0.010753,0.002948,138,19.52
1,relu,AdamW,"[64, 64, 32]",Dane1_raw,0.491766,0.471909,0.476731,14,3.09
2,relu,AdamW,"[64, 64, 32]",Dane1_raw,0.015423,0.019722,0.011303,160,22.45
3,relu,AdamW,"[64, 64, 32]",Dane1_raw,0.057343,0.055008,0.0594,106,15.36
4,relu,AdamW,"[64, 64, 32]",Dane1_raw,0.011712,0.015977,0.007,158,22.02
5,relu,AdamW,"[64, 64, 32]",Dane1_raw,0.470523,0.476476,0.46132,12,2.84
6,relu,AdamW,"[64, 64, 32]",Dane1_raw,0.028902,0.027405,0.023792,162,22.49
7,relu,AdamW,"[64, 64, 32]",Dane1_raw,0.015991,0.01796,0.012,152,21.31
8,relu,AdamW,"[64, 64, 32]",Dane1_raw,0.463091,0.490831,0.459429,11,2.74
9,relu,AdamW,"[64, 64, 32]",Dane1_raw,0.010157,0.013379,0.004882,155,24.09
10,relu,AdamW,"[64, 64, 32]",Dane1_raw,0.017905,0.023593,0.01403,138,19.5
1,relu,AdamW,"[64, 64, 32]",Dane2_standardise,0.009793,0.005414,0.007985,20,3.72
2,relu,AdamW,"[64, 64, 32]",Dane2_standardise,0.010108,0.006155,0.011252,18,3.33
3,relu,AdamW,"[64, 64, 32]",Dane2_standardise,0.01602,0.008677,0.013726,16,3.12
4,relu,AdamW,"[64, 64, 32]",Dane2_standardise,0.010646,0.005908,0.009228,20,3.62
5,relu,AdamW,"[64, 64, 32]",Dane2_standardise,0.011461,0.006541,0.009116,19,3.66
6,relu,AdamW,"[64, 64, 32]",Dane2_standardise,0.01477,0.007074,0.012354,20,3.69
7,relu,AdamW,"[64, 64, 32]",Dane2_standardise,0.009193,0.006492,0.008285,22,3.77
8,relu,AdamW,"[64, 64, 32]",Dane2_standardise,0.0006,0.000229,0.000714,124,15.45
9,relu,AdamW,"[64, 64, 32]",Dane2_standardise,0.013875,0.007813,0.01301,19,3.5
10,relu,AdamW,"[64, 64, 32]",Dane2_standardise,0.014272,0.006798,0.013933,20,3.57
1,relu,AdamW,"[64, 64, 32]",Dane2_raw,0.000235,0.000213,0.000212,119,14.85
2,relu,AdamW,"[64, 64, 32]",Dane2_raw,0.000446,0.000329,0.000297,70,9.48
3,relu,AdamW,"[64, 64, 32]",Dane2_raw,0.000312,0.000323,0.000231,153,18.96
4,relu,AdamW,"[64, 64, 32]",Dane2_raw,0.000369,0.000331,0.000271,114,14.23
5,relu,AdamW,"[64, 64, 32]",Dane2_raw,0.000327,0.000331,0.000228,88,11.36
6,relu,AdamW,"[64, 64, 32]",Dane2_raw,0.000222,0.000224,0.000185,174,21.3
7,relu,AdamW,"[64, 64, 32]",Dane2_raw,0.000306,0.000306,0.000281,109,13.74
8,relu,AdamW,"[64, 64, 32]",Dane2_raw,0.00046,0.000354,0.000289,56,7.77
9,relu,AdamW,"[64, 64, 32]",Dane2_raw,0.000311,0.000319,0.000281,94,11.98
10,relu,AdamW,"[64, 64, 32]",Dane2_raw,0.000534,0.000408,0.000323,69,9.27
1,relu,AdamW,"[128, 128, 64]",Dane1_standardise,0.011347,0.012787,0.005734,109,15.89
2,relu,AdamW,"[128, 128, 64]",Dane1_standardise,0.009685,0.012863,0.004743,92,13.58
3,relu,AdamW,"[128, 128, 64]",Dane1_standardise,0.010783,0.015916,0.005591,80,12.06
4,relu,AdamW,"[128, 128, 64]",Dane1_standardise,0.00989,0.010956,0.003093,115,16.73
5,relu,AdamW,"[128, 128, 64]",Dane1_standardise,0.008874,0.012579,0.003515,103,15.41
6,relu,AdamW,"[128, 128, 64]",Dane1_standardise,0.014617,0.018639,0.010973,81,12.16
7,relu,AdamW,"[128, 128, 64]",Dane1_standardise,0.010809,0.012816,0.005124,86,13.37
8,relu,AdamW,"[128, 128, 64]",Dane1_standardise,0.008835,0.013341,0.003712,99,14.53
9,relu,AdamW,"[128, 128, 64]",Dane1_standardise,0.009861,0.011305,0.003246,110,15.98
10,relu,AdamW,"[128, 128, 64]",Dane1_standardise,0.00962,0.012334,0.004085,105,15.55
1,relu,AdamW,"[128, 128, 64]",Dane1_raw,0.011218,0.012936,0.005824,137,20.96
2,relu,AdamW,"[128, 128, 64]",Dane1_raw,0.087657,0.078248,0.09153,64,10.37
3,relu,AdamW,"[128, 128, 64]",Dane1_raw,0.013463,0.016216,0.009209,128,18.69
4,relu,AdamW,"[128, 128, 64]",Dane1_raw,0.021133,0.024131,0.016992,119,17.25
5,relu,AdamW,"[128, 128, 64]",Dane1_raw,0.032261,0.035721,0.029997,95,14.05
6,relu,AdamW,"[128, 128, 64]",Dane1_raw,0.018365,0.021712,0.015143,104,15.22
7,relu,AdamW,"[128, 128, 64]",Dane1_raw,0.107685,0.083489,0.108538,63,9.73
8,relu,AdamW,"[128, 128, 64]",Dane1_raw,0.060816,0.055811,0.061378,71,10.84
9,relu,AdamW,"[128, 128, 64]",Dane1_raw,0.008327,0.011854,0.003224,129,18.59
10,relu,AdamW,"[128, 128, 64]",Dane1_raw,0.022992,0.02696,0.020181,99,14.62
1,relu,AdamW,"[128, 128, 64]",Dane2_standardise,0.000838,0.000245,0.000849,106,13.42
2,relu,AdamW,"[128, 128, 64]",Dane2_standardise,0.001186,0.00047,0.001262,79,10.39
3,relu,AdamW,"[128, 128, 64]",Dane2_standardise,0.01543,0.008151,0.013887,16,3.24
4,relu,AdamW,"[128, 128, 64]",Dane2_standardise,0.012214,0.007559,0.010555,17,3.25
5,relu,AdamW,"[128, 128, 64]",Dane2_standardise,0.012481,0.008539,0.010766,16,3.19
6,relu,AdamW,"[128, 128, 64]",Dane2_standardise,0.01116,0.00891,0.009623,18,3.41
7,relu,AdamW,"[128, 128, 64]",Dane2_standardise,0.014763,0.007291,0.01339,16,3.2
8,relu,AdamW,"[128, 128, 64]",Dane2_standardise,0.018481,0.010096,0.017819,15,3.07
9,relu,AdamW,"[128, 128, 64]",Dane2_standardise,0.00059,0.000132,0.000625,109,13.91
10,relu,AdamW,"[128, 128, 64]",Dane2_standardise,0.000823,0.000268,0.001146,86,13.98
1,relu,AdamW,"[128, 128, 64]",Dane2_raw,0.00012,0.0001,0.000105,98,12.74
2,relu,AdamW,"[128, 128, 64]",Dane2_raw,0.000124,9.4e-05,0.000144,122,15.4
3,relu,AdamW,"[128, 128, 64]",Dane2_raw,0.000346,0.000354,0.000281,66,8.89
4,relu,AdamW,"[128, 128, 64]",Dane2_raw,0.000147,0.000133,0.00018,107,13.77
5,relu,AdamW,"[128, 128, 64]",Dane2_raw,0.000196,0.000194,0.000179,106,13.45
6,relu,AdamW,"[128, 128, 64]",Dane2_raw,0.000322,0.000295,0.000252,56,7.89
7,relu,AdamW,"[128, 128, 64]",Dane2_raw,0.000276,0.000289,0.000282,85,11.12
8,relu,AdamW,"[128, 128, 64]",Dane2_raw,0.000154,0.000138,0.000128,75,9.97
9,relu,AdamW,"[128, 128, 64]",Dane2_raw,0.000366,0.000376,0.000274,66,8.91
10,relu,AdamW,"[128, 128, 64]",Dane2_raw,0.000411,0.00032,0.000251,58,8.09
1,relu,AdamW,"[256, 256, 128]",Dane1_standardise,0.01142,0.013901,0.006555,68,11.76
2,relu,AdamW,"[256, 256, 128]",Dane1_standardise,0.014176,0.017948,0.00813,56,9.97
3,relu,AdamW,"[256, 256, 128]",Dane1_standardise,0.012708,0.015692,0.007104,63,10.98
4,relu,AdamW,"[256, 256, 128]",Dane1_standardise,0.012078,0.014357,0.006988,69,11.84
5,relu,AdamW,"[256, 256, 128]",Dane1_standardise,0.013062,0.016038,0.007501,80,13.57
6,relu,AdamW,"[256, 256, 128]",Dane1_standardise,0.011118,0.016591,0.006174,59,10.31
7,relu,AdamW,"[256, 256, 128]",Dane1_standardise,0.011249,0.012318,0.004416,83,13.91
8,relu,AdamW,"[256, 256, 128]",Dane1_standardise,0.009196,0.014318,0.00454,68,11.77
9,relu,AdamW,"[256, 256, 128]",Dane1_standardise,0.012528,0.01235,0.005848,76,12.96
10,relu,AdamW,"[256, 256, 128]",Dane1_standardise,0.010315,0.011549,0.004194,84,14.26
1,relu,AdamW,"[256, 256, 128]",Dane1_raw,0.012977,0.014742,0.008271,101,16.81
2,relu,AdamW,"[256, 256, 128]",Dane1_raw,0.01849,0.018738,0.013742,85,14.34
3,relu,AdamW,"[256, 256, 128]",Dane1_raw,0.019079,0.022721,0.014032,85,14.73
4,relu,AdamW,"[256, 256, 128]",Dane1_raw,0.009596,0.012012,0.004304,90,15.08
5,relu,AdamW,"[256, 256, 128]",Dane1_raw,0.011787,0.018023,0.007895,98,16.23
6,relu,AdamW,"[256, 256, 128]",Dane1_raw,0.008603,0.013157,0.003701,110,18.08
7,relu,AdamW,"[256, 256, 128]",Dane1_raw,0.02718,0.0287,0.023472,73,12.55
8,relu,AdamW,"[256, 256, 128]",Dane1_raw,0.015265,0.018718,0.012051,86,14.48
9,relu,AdamW,"[256, 256, 128]",Dane1_raw,0.048592,0.043036,0.044669,65,11.3
10,relu,AdamW,"[256, 256, 128]",Dane1_raw,0.009727,0.0122,0.003687,136,22.28
1,relu,AdamW,"[256, 256, 128]",Dane2_standardise,0.000936,0.000289,0.001203,72,10.12
2,relu,AdamW,"[256, 256, 128]",Dane2_standardise,0.000785,0.000253,0.000991,79,10.95
3,relu,AdamW,"[256, 256, 128]",Dane2_standardise,0.000731,0.000368,0.000894,77,10.8
4,relu,AdamW,"[256, 256, 128]",Dane2_standardise,0.001289,0.000688,0.001763,59,8.5
5,relu,AdamW,"[256, 256, 128]",Dane2_standardise,0.000851,0.000455,0.001157,69,9.7
6,relu,AdamW,"[256, 256, 128]",Dane2_standardise,0.001029,0.000345,0.000982,89,12.22
7,relu,AdamW,"[256, 256, 128]",Dane2_standardise,0.000785,0.000281,0.000871,98,13.44
8,relu,AdamW,"[256, 256, 128]",Dane2_standardise,0.000792,0.000257,0.000917,84,11.59
9,relu,AdamW,"[256, 256, 128]",Dane2_standardise,0.00096,0.000262,0.001148,70,9.91
10,relu,AdamW,"[256, 256, 128]",Dane2_standardise,0.000684,0.000358,0.000768,82,11.31
1,relu,AdamW,"[256, 256, 128]",Dane2_raw,0.0001,8.1e-05,0.000119,88,12.08
2,relu,AdamW,"[256, 256, 128]",Dane2_raw,0.000254,0.000287,0.000293,73,10.22
3,relu,AdamW,"[256, 256, 128]",Dane2_raw,0.000213,0.00024,0.000222,89,12.27
4,relu,AdamW,"[256, 256, 128]",Dane2_raw,0.000225,0.000234,0.000246,67,9.47
5,relu,AdamW,"[256, 256, 128]",Dane2_raw,0.000205,0.000244,0.000255,85,11.79
6,relu,AdamW,"[256, 256, 128]",Dane2_raw,0.000135,0.000124,0.000103,75,10.51
7,relu,AdamW,"[256, 256, 128]",Dane2_raw,0.000181,0.000207,0.000238,119,15.87
8,relu,AdamW,"[256, 256, 128]",Dane2_raw,0.00018,0.000212,0.000208,87,11.95
9,relu,AdamW,"[256, 256, 128]",Dane2_raw,0.000124,0.00011,0.000161,92,12.67
10,relu,AdamW,"[256, 256, 128]",Dane2_raw,0.000245,0.00023,0.000217,98,13.31
1,relu,SGD,[32],Dane1_standardise,0.457548,0.495615,0.455426,24,3.55
2,relu,SGD,[32],Dane1_standardise,0.451421,0.502333,0.452171,18,2.87
3,relu,SGD,[32],Dane1_standardise,0.466536,0.490292,0.459079,21,3.18
4,relu,SGD,[32],Dane1_standardise,0.453891,0.502648,0.454376,21,3.23
5,relu,SGD,[32],Dane1_standardise,0.454891,0.497934,0.45405,12,2.08
6,relu,SGD,[32],Dane1_standardise,0.455146,0.493563,0.453152,16,2.61
7,relu,SGD,[32],Dane1_standardise,0.450853,0.505902,0.45296,12,2.06
8,relu,SGD,[32],Dane1_standardise,0.426514,0.442627,0.421772,40,5.56
9,relu,SGD,[32],Dane1_standardise,0.483086,0.488051,0.473763,12,2.07
10,relu,SGD,[32],Dane1_standardise,0.46272,0.491539,0.458523,22,3.31
1,relu,SGD,[32],Dane1_raw,0.468344,0.489382,0.462979,31,4.44
2,relu,SGD,[32],Dane1_raw,0.498705,0.461007,0.478833,13,2.21
3,relu,SGD,[32],Dane1_raw,0.467168,0.491623,0.46296,17,2.67
4,relu,SGD,[32],Dane1_raw,1.038544,1.433563,1.135908,12,1.97
5,relu,SGD,[32],Dane1_raw,0.463162,0.481973,0.457841,27,3.97
6,relu,SGD,[32],Dane1_raw,0.504551,0.484247,0.489163,14,2.34
7,relu,SGD,[32],Dane1_raw,0.471622,0.475723,0.46305,19,2.99
8,relu,SGD,[32],Dane1_raw,0.468149,0.481796,0.461817,20,3.14
9,relu,SGD,[32],Dane1_raw,0.499038,0.480124,0.484309,17,2.7
10,relu,SGD,[32],Dane1_raw,0.469874,0.49173,0.464455,21,3.24
1,relu,SGD,[32],Dane2_standardise,0.00075,0.000554,0.000698,112,13.06
2,relu,SGD,[32],Dane2_standardise,0.000551,0.000421,0.000409,111,12.96
3,relu,SGD,[32],Dane2_standardise,0.004493,0.003041,0.003629,18,2.66
4,relu,SGD,[32],Dane2_standardise,0.003814,0.002578,0.002872,18,2.69
5,relu,SGD,[32],Dane2_standardise,0.000692,0.000484,0.000543,103,12.06
6,relu,SGD,[32],Dane2_standardise,0.002297,0.001262,0.001958,17,2.59
7,relu,SGD,[32],Dane2_standardise,0.000519,0.000288,0.000432,103,12.06
8,relu,SGD,[32],Dane2_standardise,0.000443,0.000321,0.000282,178,20.39
9,relu,SGD,[32],Dane2_standardise,0.000476,0.000306,0.000368,148,17.13
10,relu,SGD,[32],Dane2_standardise,0.000439,0.000323,0.000299,124,14.44
1,relu,SGD,[32],Dane2_raw,0.000542,0.000195,0.000438,128,14.88
2,relu,SGD,[32],Dane2_raw,0.000735,0.000378,0.000613,260,29.91
3,relu,SGD,[32],Dane2_raw,0.001147,0.000588,0.001082,102,12.0
4,relu,SGD,[32],Dane2_raw,0.000718,0.000417,0.000577,216,24.69
5,relu,SGD,[32],Dane2_raw,0.000869,0.000456,0.000785,182,20.95
6,relu,SGD,[32],Dane2_raw,0.000609,0.000325,0.000477,312,35.51
7,relu,SGD,[32],Dane2_raw,0.00054,0.000392,0.000373,305,34.72
8,relu,SGD,[32],Dane2_raw,0.001128,0.000593,0.001044,98,11.49
9,relu,SGD,[32],Dane2_raw,0.000829,0.000405,0.00071,235,26.81
10,relu,SGD,[32],Dane2_raw,0.000988,0.000496,0.000912,220,25.13
1,relu,SGD,"[32, 16]",Dane1_standardise,0.25454,0.213688,0.249052,47,6.83
2,relu,SGD,"[32, 16]",Dane1_standardise,0.447827,0.516206,0.453032,12,2.23
3,relu,SGD,"[32, 16]",Dane1_standardise,0.245693,0.210222,0.236532,58,8.2
4,relu,SGD,"[32, 16]",Dane1_standardise,0.455711,0.505697,0.457217,12,2.25
5,relu,SGD,"[32, 16]",Dane1_standardise,0.453746,0.492923,0.451694,18,2.99
6,relu,SGD,"[32, 16]",Dane1_standardise,0.487699,0.472786,0.472492,11,2.09
7,relu,SGD,"[32, 16]",Dane1_standardise,0.458279,0.493056,0.456787,11,2.1
8,relu,SGD,"[32, 16]",Dane1_standardise,0.008883,0.012955,0.003656,189,25.21
9,relu,SGD,"[32, 16]",Dane1_standardise,0.031166,0.032398,0.030131,151,20.29
10,relu,SGD,"[32, 16]",Dane1_standardise,0.458416,0.488737,0.455219,12,2.24
1,relu,SGD,"[32, 16]",Dane1_raw,0.307034,0.33792,0.305792,43,6.26
2,relu,SGD,"[32, 16]",Dane1_raw,0.466034,0.486936,0.461121,12,2.22
3,relu,SGD,"[32, 16]",Dane1_raw,0.22437,0.234135,0.2225,76,10.68
4,relu,SGD,"[32, 16]",Dane1_raw,0.473513,0.476255,0.463013,11,2.11
5,relu,SGD,"[32, 16]",Dane1_raw,0.233549,0.263524,0.242802,52,7.67
6,relu,SGD,"[32, 16]",Dane1_raw,0.15137,0.158564,0.156926,77,10.7
7,relu,SGD,"[32, 16]",Dane1_raw,0.309598,0.293702,0.298878,57,8.1
8,relu,SGD,"[32, 16]",Dane1_raw,0.309631,0.346055,0.308347,50,7.37
9,relu,SGD,"[32, 16]",Dane1_raw,0.269512,0.327782,0.278874,43,6.26
10,relu,SGD,"[32, 16]",Dane1_raw,0.477817,0.483994,0.468252,22,3.53
1,relu,SGD,"[32, 16]",Dane2_standardise,0.000481,0.00033,0.000345,195,22.99
2,relu,SGD,"[32, 16]",Dane2_standardise,0.000497,0.000466,0.000666,227,26.55
3,relu,SGD,"[32, 16]",Dane2_standardise,0.000544,0.000498,0.000466,159,18.74
4,relu,SGD,"[32, 16]",Dane2_standardise,0.000877,0.000544,0.001185,60,7.63
5,relu,SGD,"[32, 16]",Dane2_standardise,0.001209,0.000989,0.000975,37,4.89
6,relu,SGD,"[32, 16]",Dane2_standardise,0.000492,0.000368,0.000461,238,27.67
7,relu,SGD,"[32, 16]",Dane2_standardise,0.000598,0.000573,0.000466,334,38.67
8,relu,SGD,"[32, 16]",Dane2_standardise,0.001631,0.000938,0.001626,23,3.37
9,relu,SGD,"[32, 16]",Dane2_standardise,0.000352,0.00015,0.000189,158,18.53
10,relu,SGD,"[32, 16]",Dane2_standardise,0.000684,0.00075,0.000745,145,17.13
1,relu,SGD,"[32, 16]",Dane2_raw,0.000574,0.000231,0.000466,115,13.71
2,relu,SGD,"[32, 16]",Dane2_raw,0.000496,0.000153,0.000352,111,13.39
3,relu,SGD,"[32, 16]",Dane2_raw,0.000748,0.000265,0.000622,139,16.43
4,relu,SGD,"[32, 16]",Dane2_raw,0.000472,0.000186,0.000369,126,14.96
5,relu,SGD,"[32, 16]",Dane2_raw,0.000361,0.000136,0.000235,120,14.33
6,relu,SGD,"[32, 16]",Dane2_raw,0.000791,0.000193,0.000664,124,14.7
7,relu,SGD,"[32, 16]",Dane2_raw,0.000639,0.000252,0.00052,76,9.3
8,relu,SGD,"[32, 16]",Dane2_raw,0.000595,0.000253,0.000421,58,7.22
9,relu,SGD,"[32, 16]",Dane2_raw,0.000445,0.000173,0.00031,77,9.45
10,relu,SGD,"[32, 16]",Dane2_raw,0.000662,0.000249,0.000553,173,20.28
1,relu,SGD,"[32, 32]",Dane1_standardise,0.236467,0.199105,0.227945,52,7.43
2,relu,SGD,"[32, 32]",Dane1_standardise,0.444014,0.502413,0.446855,17,2.84
3,relu,SGD,"[32, 32]",Dane1_standardise,0.44724,0.499076,0.448471,16,2.72
4,relu,SGD,"[32, 32]",Dane1_standardise,0.472149,0.498222,0.467992,12,2.23
5,relu,SGD,"[32, 32]",Dane1_standardise,0.071775,0.050686,0.064077,114,15.45
6,relu,SGD,"[32, 32]",Dane1_standardise,0.027222,0.030777,0.023133,157,21.03
7,relu,SGD,"[32, 32]",Dane1_standardise,0.125936,0.088791,0.114569,91,12.46
8,relu,SGD,"[32, 32]",Dane1_standardise,0.194721,0.171729,0.195238,56,7.9
9,relu,SGD,"[32, 32]",Dane1_standardise,0.453875,0.494835,0.452534,13,2.35
10,relu,SGD,"[32, 32]",Dane1_standardise,0.01645,0.021111,0.009905,157,21.11
1,relu,SGD,"[32, 32]",Dane1_raw,0.213644,0.281309,0.230816,49,7.01
2,relu,SGD,"[32, 32]",Dane1_raw,0.502762,0.481918,0.488091,11,2.09
3,relu,SGD,"[32, 32]",Dane1_raw,0.11154,0.091207,0.11163,88,12.09
4,relu,SGD,"[32, 32]",Dane1_raw,0.460234,0.490352,0.457302,12,2.23
5,relu,SGD,"[32, 32]",Dane1_raw,0.46766,0.487937,0.462273,14,2.56
6,relu,SGD,"[32, 32]",Dane1_raw,0.228201,0.225174,0.227681,51,7.2
7,relu,SGD,"[32, 32]",Dane1_raw,0.205921,0.187223,0.20656,62,8.72
8,relu,SGD,"[32, 32]",Dane1_raw,0.161533,0.133852,0.156433,92,12.56
9,relu,SGD,"[32, 32]",Dane1_raw,0.495197,0.47177,0.477722,11,2.08
10,relu,SGD,"[32, 32]",Dane1_raw,0.168505,0.184907,0.173501,58,8.22
1,relu,SGD,"[32, 32]",Dane2_standardise,0.000543,0.000403,0.000633,140,16.57
2,relu,SGD,"[32, 32]",Dane2_standardise,0.000372,0.000218,0.000223,87,10.58
3,relu,SGD,"[32, 32]",Dane2_standardise,0.000522,0.000415,0.000449,59,7.45
4,relu,SGD,"[32, 32]",Dane2_standardise,0.000509,0.000334,0.000476,87,10.45
5,relu,SGD,"[32, 32]",Dane2_standardise,0.000495,0.000223,0.000334,76,9.31
6,relu,SGD,"[32, 32]",Dane2_standardise,0.000473,0.000277,0.000382,201,23.45
7,relu,SGD,"[32, 32]",Dane2_standardise,0.000623,0.000521,0.000653,90,10.88
8,relu,SGD,"[32, 32]",Dane2_standardise,0.000498,0.000243,0.000378,129,15.24
9,relu,SGD,"[32, 32]",Dane2_standardise,0.000485,0.000315,0.000477,165,19.29
10,relu,SGD,"[32, 32]",Dane2_standardise,0.000543,0.00035,0.000527,120,14.25
