run_number,activation,optimizer,structure,dataset,mse_train,mse_val,mse_test,epochs_run,fit_time_sec
4,relu,Adam,"[32, 16]",Dane2_standardise,0.008514,0.007434,0.007906,34,5.66
5,relu,Adam,"[32, 16]",Dane2_standardise,0.006408,0.005321,0.00525,33,5.89
6,relu,Adam,"[32, 16]",Dane2_standardise,0.012935,0.006551,0.011414,27,4.82
7,relu,Adam,"[32, 16]",Dane2_standardise,0.000762,0.000542,0.000995,182,24.78
8,relu,Adam,"[32, 16]",Dane2_standardise,0.003378,0.001829,0.002513,41,6.5
9,relu,Adam,"[32, 16]",Dane2_standardise,0.012068,0.004776,0.009971,30,6.25
10,relu,Adam,"[32, 16]",Dane2_standardise,0.005841,0.003151,0.004968,43,6.88
1,relu,Adam,"[32, 16]",Dane2_raw,0.001559,0.000938,0.000983,155,27.15
2,relu,Adam,"[32, 16]",Dane2_raw,0.001269,0.000663,0.000772,170,23.51
3,relu,Adam,"[32, 16]",Dane2_raw,0.001214,0.000752,0.000976,108,17.24
4,relu,Adam,"[32, 16]",Dane2_raw,0.000562,0.000473,0.00038,217,33.11
5,relu,Adam,"[32, 16]",Dane2_raw,0.000512,0.000381,0.000338,271,40.54
6,relu,Adam,"[32, 16]",Dane2_raw,0.000673,0.000451,0.000493,186,28.33
7,relu,Adam,"[32, 16]",Dane2_raw,0.000754,0.000388,0.000521,120,19.17
8,relu,Adam,"[32, 16]",Dane2_raw,0.000831,0.000495,0.000544,232,35.14
9,relu,Adam,"[32, 16]",Dane2_raw,0.001559,0.000842,0.001039,243,37.15
10,relu,Adam,"[32, 16]",Dane2_raw,0.000439,0.000367,0.000319,209,34.14
1,relu,Adam,"[32, 32]",Dane1_standardise,0.191569,0.185799,0.197625,99,17.38
2,relu,Adam,"[32, 32]",Dane1_standardise,0.184609,0.186553,0.192397,95,16.43
3,relu,Adam,"[32, 32]",Dane1_standardise,0.190959,0.191307,0.19815,102,18.38
4,relu,Adam,"[32, 32]",Dane1_standardise,0.014657,0.019012,0.009769,351,56.1
5,relu,Adam,"[32, 32]",Dane1_standardise,0.132668,0.137786,0.142536,164,22.4
6,relu,Adam,"[32, 32]",Dane1_standardise,0.183759,0.186132,0.191563,95,13.34
7,relu,Adam,"[32, 32]",Dane1_standardise,0.465557,0.494024,0.461078,11,2.32
8,relu,Adam,"[32, 32]",Dane1_standardise,0.459308,0.495741,0.457189,11,2.33
9,relu,Adam,"[32, 32]",Dane1_standardise,0.46129,0.491397,0.459006,11,2.38
10,relu,Adam,"[32, 32]",Dane1_standardise,0.015666,0.021468,0.012417,332,44.03
1,relu,Adam,"[32, 32]",Dane1_raw,0.459669,0.496467,0.458028,20,3.46
2,relu,Adam,"[32, 32]",Dane1_raw,0.411199,0.464033,0.409757,30,4.74
3,relu,Adam,"[32, 32]",Dane1_raw,0.217514,0.207012,0.219881,90,12.57
4,relu,Adam,"[32, 32]",Dane1_raw,0.471137,0.479019,0.462106,12,2.43
5,relu,Adam,"[32, 32]",Dane1_raw,0.509343,0.475786,0.487523,26,4.61
6,relu,Adam,"[32, 32]",Dane1_raw,0.47183,0.492578,0.462857,17,3.82
7,relu,Adam,"[32, 32]",Dane1_raw,0.205063,0.188314,0.20461,94,13.33
8,relu,Adam,"[32, 32]",Dane1_raw,0.476711,0.479882,0.467151,14,2.69
9,relu,Adam,"[32, 32]",Dane1_raw,0.463731,0.476192,0.455542,14,2.69
10,relu,Adam,"[32, 32]",Dane1_raw,0.453402,0.503295,0.455385,12,2.43
1,relu,Adam,"[32, 32]",Dane2_standardise,0.000421,0.000248,0.000436,253,29.91
2,relu,Adam,"[32, 32]",Dane2_standardise,0.016541,0.006403,0.015096,26,3.92
3,relu,Adam,"[32, 32]",Dane2_standardise,0.010365,0.006193,0.008369,25,3.75
4,relu,Adam,"[32, 32]",Dane2_standardise,0.01055,0.007544,0.010075,24,3.64
5,relu,Adam,"[32, 32]",Dane2_standardise,0.007209,0.005471,0.005838,32,4.57
6,relu,Adam,"[32, 32]",Dane2_standardise,0.009518,0.005107,0.006814,34,4.79
7,relu,Adam,"[32, 32]",Dane2_standardise,0.013208,0.01037,0.013184,27,4.02
8,relu,Adam,"[32, 32]",Dane2_standardise,0.008314,0.005918,0.007859,37,5.12
9,relu,Adam,"[32, 32]",Dane2_standardise,0.009199,0.004898,0.008314,34,4.87
10,relu,Adam,"[32, 32]",Dane2_standardise,0.008552,0.004572,0.007079,29,5.7
1,relu,Adam,"[32, 32]",Dane2_raw,0.001226,0.000607,0.000905,99,16.36
2,relu,Adam,"[32, 32]",Dane2_raw,0.000701,0.000429,0.000399,205,29.2
3,relu,Adam,"[32, 32]",Dane2_raw,0.00143,0.000802,0.000929,269,39.42
4,relu,Adam,"[32, 32]",Dane2_raw,0.000565,0.000487,0.000411,112,17.82
5,relu,Adam,"[32, 32]",Dane2_raw,0.000457,0.000332,0.000308,188,26.79
6,relu,Adam,"[32, 32]",Dane2_raw,0.001123,0.000621,0.000776,103,15.77
7,relu,Adam,"[32, 32]",Dane2_raw,0.000664,0.000396,0.000429,204,29.7
8,relu,Adam,"[32, 32]",Dane2_raw,0.000392,0.000313,0.000245,242,34.76
9,relu,Adam,"[32, 32]",Dane2_raw,0.000848,0.000464,0.00056,118,17.21
10,relu,Adam,"[32, 32]",Dane2_raw,0.002018,0.001381,0.001503,144,21.52
1,relu,Adam,"[64, 64, 32]",Dane1_standardise,0.00924,0.011955,0.003849,152,27.16
2,relu,Adam,"[64, 64, 32]",Dane1_standardise,0.018744,0.024852,0.016387,98,18.67
3,relu,Adam,"[64, 64, 32]",Dane1_standardise,0.014575,0.017279,0.010053,131,25.57
4,relu,Adam,"[64, 64, 32]",Dane1_standardise,0.009689,0.012812,0.00474,132,23.0
5,relu,Adam,"[64, 64, 32]",Dane1_standardise,0.010239,0.014064,0.004678,138,24.13
6,relu,Adam,"[64, 64, 32]",Dane1_standardise,0.013166,0.015389,0.007932,131,22.46
7,relu,Adam,"[64, 64, 32]",Dane1_standardise,0.010675,0.0149,0.005702,107,19.83
8,relu,Adam,"[64, 64, 32]",Dane1_standardise,0.010871,0.01592,0.006447,111,20.01
9,relu,Adam,"[64, 64, 32]",Dane1_standardise,0.013174,0.015714,0.007221,112,22.54
10,relu,Adam,"[64, 64, 32]",Dane1_standardise,0.00914,0.009992,0.002634,143,24.78
1,relu,Adam,"[64, 64, 32]",Dane1_raw,0.011712,0.01519,0.007165,173,29.6
2,relu,Adam,"[64, 64, 32]",Dane1_raw,0.013374,0.015889,0.008047,150,25.33
3,relu,Adam,"[64, 64, 32]",Dane1_raw,0.474125,0.473442,0.463236,12,4.34
4,relu,Adam,"[64, 64, 32]",Dane1_raw,0.010177,0.013717,0.005571,148,25.34
5,relu,Adam,"[64, 64, 32]",Dane1_raw,0.010444,0.014667,0.006006,138,23.95
6,relu,Adam,"[64, 64, 32]",Dane1_raw,0.184859,0.147615,0.181863,57,9.72
7,relu,Adam,"[64, 64, 32]",Dane1_raw,0.084853,0.082588,0.09077,95,16.75
8,relu,Adam,"[64, 64, 32]",Dane1_raw,0.02323,0.027613,0.022301,180,31.95
9,relu,Adam,"[64, 64, 32]",Dane1_raw,0.011704,0.012663,0.006143,154,28.21
10,relu,Adam,"[64, 64, 32]",Dane1_raw,0.155962,0.112671,0.150452,65,12.72
1,relu,Adam,"[64, 64, 32]",Dane2_standardise,0.010834,0.00834,0.011438,19,4.09
2,relu,Adam,"[64, 64, 32]",Dane2_standardise,0.014313,0.007243,0.011253,19,4.13
3,relu,Adam,"[64, 64, 32]",Dane2_standardise,0.000576,0.000168,0.000617,118,17.82
4,relu,Adam,"[64, 64, 32]",Dane2_standardise,0.011795,0.006767,0.009549,19,4.3
5,relu,Adam,"[64, 64, 32]",Dane2_standardise,0.012073,0.007074,0.010577,18,4.13
6,relu,Adam,"[64, 64, 32]",Dane2_standardise,0.009644,0.006006,0.0085,20,4.37
7,relu,Adam,"[64, 64, 32]",Dane2_standardise,0.011793,0.006227,0.009745,19,4.29
8,relu,Adam,"[64, 64, 32]",Dane2_standardise,0.011562,0.006238,0.01086,19,4.25
9,relu,Adam,"[64, 64, 32]",Dane2_standardise,0.000662,0.000404,0.000839,102,15.73
10,relu,Adam,"[64, 64, 32]",Dane2_standardise,0.011337,0.006419,0.009679,18,3.78
1,relu,Adam,"[64, 64, 32]",Dane2_raw,0.000396,0.000317,0.000289,93,14.65
2,relu,Adam,"[64, 64, 32]",Dane2_raw,0.000282,0.000237,0.000188,91,14.95
3,relu,Adam,"[64, 64, 32]",Dane2_raw,0.000157,0.00013,0.000124,159,24.53
4,relu,Adam,"[64, 64, 32]",Dane2_raw,0.000463,0.000336,0.000288,75,13.16
5,relu,Adam,"[64, 64, 32]",Dane2_raw,0.000204,0.00016,0.000129,160,24.93
6,relu,Adam,"[64, 64, 32]",Dane2_raw,0.000437,0.000381,0.000348,97,15.61
7,relu,Adam,"[64, 64, 32]",Dane2_raw,0.000336,0.00032,0.0003,79,13.48
8,relu,Adam,"[64, 64, 32]",Dane2_raw,0.000261,0.000205,0.00018,85,13.46
9,relu,Adam,"[64, 64, 32]",Dane2_raw,0.000309,0.000274,0.000234,96,15.34
10,relu,Adam,"[64, 64, 32]",Dane2_raw,0.000316,0.00027,0.000182,89,14.13
1,relu,Adam,"[128, 128, 64]",Dane1_standardise,0.010557,0.01351,0.005443,104,19.54
2,relu,Adam,"[128, 128, 64]",Dane1_standardise,0.011754,0.015474,0.006386,85,16.95
3,relu,Adam,"[128, 128, 64]",Dane1_standardise,0.009854,0.011362,0.004331,101,17.71
4,relu,Adam,"[128, 128, 64]",Dane1_standardise,0.011594,0.016484,0.007139,72,12.72
5,relu,Adam,"[128, 128, 64]",Dane1_standardise,0.010623,0.010858,0.004052,114,18.3
6,relu,Adam,"[128, 128, 64]",Dane1_standardise,0.010656,0.012139,0.005289,110,15.96
7,relu,Adam,"[128, 128, 64]",Dane1_standardise,0.011041,0.015757,0.00575,86,12.76
8,relu,Adam,"[128, 128, 64]",Dane1_standardise,0.010856,0.011183,0.004094,114,16.67
9,relu,Adam,"[128, 128, 64]",Dane1_standardise,0.011895,0.011909,0.005731,111,16.11
10,relu,Adam,"[128, 128, 64]",Dane1_standardise,0.011046,0.01323,0.00536,101,14.84
1,relu,Adam,"[128, 128, 64]",Dane1_raw,0.010729,0.013853,0.005027,138,23.9
2,relu,Adam,"[128, 128, 64]",Dane1_raw,0.015875,0.019144,0.01129,111,21.09
3,relu,Adam,"[128, 128, 64]",Dane1_raw,0.010665,0.016387,0.00691,106,19.42
4,relu,Adam,"[128, 128, 64]",Dane1_raw,0.012096,0.016172,0.008234,127,21.67
5,relu,Adam,"[128, 128, 64]",Dane1_raw,0.012272,0.012943,0.005662,135,23.69
6,relu,Adam,"[128, 128, 64]",Dane1_raw,0.011456,0.017135,0.007911,123,23.14
7,relu,Adam,"[128, 128, 64]",Dane1_raw,0.012427,0.01465,0.00602,144,27.85
8,relu,Adam,"[128, 128, 64]",Dane1_raw,0.018429,0.019949,0.012974,103,19.53
9,relu,Adam,"[128, 128, 64]",Dane1_raw,0.013313,0.019755,0.00951,112,20.64
10,relu,Adam,"[128, 128, 64]",Dane1_raw,0.015525,0.018389,0.010738,117,22.22
1,relu,Adam,"[128, 128, 64]",Dane2_standardise,0.016466,0.008852,0.01384,17,4.36
2,relu,Adam,"[128, 128, 64]",Dane2_standardise,0.001129,0.000337,0.001453,76,12.99
3,relu,Adam,"[128, 128, 64]",Dane2_standardise,0.018881,0.00893,0.016691,16,3.86
4,relu,Adam,"[128, 128, 64]",Dane2_standardise,0.000512,0.000253,0.000495,96,16.05
5,relu,Adam,"[128, 128, 64]",Dane2_standardise,0.000573,0.000158,0.000527,112,18.16
6,relu,Adam,"[128, 128, 64]",Dane2_standardise,0.00054,0.000334,0.000526,98,15.74
7,relu,Adam,"[128, 128, 64]",Dane2_standardise,0.011841,0.007721,0.009167,17,4.01
8,relu,Adam,"[128, 128, 64]",Dane2_standardise,0.000996,0.000338,0.001152,88,14.34
9,relu,Adam,"[128, 128, 64]",Dane2_standardise,0.016034,0.008798,0.014929,16,3.9
10,relu,Adam,"[128, 128, 64]",Dane2_standardise,0.011503,0.006775,0.008859,19,4.42
1,relu,Adam,"[128, 128, 64]",Dane2_raw,0.000295,0.000277,0.000237,77,12.82
2,relu,Adam,"[128, 128, 64]",Dane2_raw,0.000158,0.000148,0.000182,108,16.96
3,relu,Adam,"[128, 128, 64]",Dane2_raw,0.00033,0.000314,0.00025,50,7.14
4,relu,Adam,"[128, 128, 64]",Dane2_raw,0.000192,0.000172,0.00017,108,21.15
5,relu,Adam,"[128, 128, 64]",Dane2_raw,0.000108,7.9e-05,0.000117,107,19.71
6,relu,Adam,"[128, 128, 64]",Dane2_raw,0.000343,0.000233,0.000181,48,9.14
7,relu,Adam,"[128, 128, 64]",Dane2_raw,0.000263,0.000315,0.000263,70,13.45
8,relu,Adam,"[128, 128, 64]",Dane2_raw,0.000318,0.000316,0.000284,65,11.54
9,relu,Adam,"[128, 128, 64]",Dane2_raw,0.000195,0.00018,0.000156,81,13.37
10,relu,Adam,"[128, 128, 64]",Dane2_raw,0.000341,0.000324,0.000253,59,8.75
1,relu,Adam,"[256, 256, 128]",Dane1_standardise,0.016993,0.017595,0.011648,57,11.19
2,relu,Adam,"[256, 256, 128]",Dane1_standardise,0.011374,0.012227,0.005509,66,14.01
3,relu,Adam,"[256, 256, 128]",Dane1_standardise,0.010279,0.014392,0.005655,76,16.38
4,relu,Adam,"[256, 256, 128]",Dane1_standardise,0.009671,0.009823,0.00289,89,19.98
5,relu,Adam,"[256, 256, 128]",Dane1_standardise,0.020257,0.023261,0.015674,55,11.54
6,relu,Adam,"[256, 256, 128]",Dane1_standardise,0.012448,0.016254,0.007137,65,13.45
7,relu,Adam,"[256, 256, 128]",Dane1_standardise,0.009669,0.012638,0.00416,75,15.94
8,relu,Adam,"[256, 256, 128]",Dane1_standardise,0.009356,0.012789,0.003902,77,15.63
9,relu,Adam,"[256, 256, 128]",Dane1_standardise,0.011206,0.014416,0.006124,66,13.31
10,relu,Adam,"[256, 256, 128]",Dane1_standardise,0.011772,0.014336,0.005176,72,15.49
1,relu,Adam,"[256, 256, 128]",Dane1_raw,0.025994,0.033299,0.022117,70,15.52
2,relu,Adam,"[256, 256, 128]",Dane1_raw,0.018903,0.021364,0.015226,90,18.62
3,relu,Adam,"[256, 256, 128]",Dane1_raw,0.011725,0.016126,0.007099,91,19.26
4,relu,Adam,"[256, 256, 128]",Dane1_raw,0.10257,0.092839,0.107397,42,9.48
5,relu,Adam,"[256, 256, 128]",Dane1_raw,0.015806,0.016803,0.009891,105,21.77
6,relu,Adam,"[256, 256, 128]",Dane1_raw,0.022269,0.026496,0.01826,80,17.68
7,relu,Adam,"[256, 256, 128]",Dane1_raw,0.009661,0.012839,0.005166,108,21.84
8,relu,Adam,"[256, 256, 128]",Dane1_raw,0.095943,0.083531,0.097319,47,10.83
9,relu,Adam,"[256, 256, 128]",Dane1_raw,0.016521,0.021803,0.011905,78,16.45
10,relu,Adam,"[256, 256, 128]",Dane1_raw,0.014207,0.019253,0.00965,73,16.17
1,relu,Adam,"[256, 256, 128]",Dane2_standardise,0.000851,0.000487,0.000972,72,12.93
2,relu,Adam,"[256, 256, 128]",Dane2_standardise,0.0009,0.000174,0.001051,102,17.79
3,relu,Adam,"[256, 256, 128]",Dane2_standardise,0.014485,0.010037,0.012211,15,3.9
4,relu,Adam,"[256, 256, 128]",Dane2_standardise,0.00097,0.00042,0.001452,67,11.66
5,relu,Adam,"[256, 256, 128]",Dane2_standardise,0.001016,0.00045,0.001483,64,10.59
6,relu,Adam,"[256, 256, 128]",Dane2_standardise,0.000736,0.000283,0.000875,65,11.35
7,relu,Adam,"[256, 256, 128]",Dane2_standardise,0.000699,0.000201,0.000748,71,12.85
8,relu,Adam,"[256, 256, 128]",Dane2_standardise,0.001312,0.000427,0.001707,61,10.45
9,relu,Adam,"[256, 256, 128]",Dane2_standardise,0.000733,0.000182,0.00077,77,13.59
10,relu,Adam,"[256, 256, 128]",Dane2_standardise,0.000796,0.00035,0.000747,76,13.13
1,relu,Adam,"[256, 256, 128]",Dane2_raw,0.000114,9.1e-05,9.3e-05,116,20.63
2,relu,Adam,"[256, 256, 128]",Dane2_raw,0.000135,0.000103,0.000122,101,18.0
3,relu,Adam,"[256, 256, 128]",Dane2_raw,0.000236,0.000252,0.000234,73,14.1
4,relu,Adam,"[256, 256, 128]",Dane2_raw,0.000182,0.000139,0.00013,66,12.52
5,relu,Adam,"[256, 256, 128]",Dane2_raw,0.000203,0.000215,0.000275,68,14.18
6,relu,Adam,"[256, 256, 128]",Dane2_raw,0.000219,0.000249,0.000234,68,12.42
7,relu,Adam,"[256, 256, 128]",Dane2_raw,0.000268,0.000268,0.000254,73,13.38
8,relu,Adam,"[256, 256, 128]",Dane2_raw,0.000199,0.000169,0.000209,64,11.67
9,relu,Adam,"[256, 256, 128]",Dane2_raw,0.000281,0.000307,0.000222,50,9.32
10,relu,Adam,"[256, 256, 128]",Dane2_raw,0.00028,0.00036,0.000298,52,10.04
1,relu,AdamW,[32],Dane1_standardise,0.458698,0.523271,0.461413,15,3.89
2,relu,AdamW,[32],Dane1_standardise,0.455627,0.511739,0.459517,11,2.35
3,relu,AdamW,[32],Dane1_standardise,0.469016,0.483601,0.460733,11,2.24
4,relu,AdamW,[32],Dane1_standardise,0.462997,0.488923,0.459839,11,2.22
5,relu,AdamW,[32],Dane1_standardise,0.466948,0.513119,0.465207,12,2.51
6,relu,AdamW,[32],Dane1_standardise,0.446377,0.51893,0.452517,22,3.92
7,relu,AdamW,[32],Dane1_standardise,0.496084,0.464409,0.477974,11,2.21
8,relu,AdamW,[32],Dane1_standardise,0.463186,0.513371,0.467045,11,3.12
9,relu,AdamW,[32],Dane1_standardise,0.444633,0.520989,0.451376,37,6.75
10,relu,AdamW,[32],Dane1_standardise,0.473431,0.474903,0.463894,11,2.54
1,relu,AdamW,[32],Dane1_raw,0.503723,0.476885,0.487334,13,2.61
2,relu,AdamW,[32],Dane1_raw,0.467227,0.500758,0.46626,12,2.4
3,relu,AdamW,[32],Dane1_raw,0.438854,0.511113,0.442762,32,5.28
4,relu,AdamW,[32],Dane1_raw,0.456354,0.50503,0.458105,13,2.72
5,relu,AdamW,[32],Dane1_raw,0.464935,0.487343,0.460494,12,2.47
6,relu,AdamW,[32],Dane1_raw,0.456782,0.501223,0.457148,13,2.5
7,relu,AdamW,[32],Dane1_raw,0.450475,0.49906,0.450793,17,2.97
8,relu,AdamW,[32],Dane1_raw,0.446639,0.513155,0.450996,29,4.42
9,relu,AdamW,[32],Dane1_raw,0.468496,0.498066,0.464669,11,2.17
10,relu,AdamW,[32],Dane1_raw,0.440441,0.511295,0.444306,36,5.37
1,relu,AdamW,[32],Dane2_standardise,0.00057,0.000595,0.000564,328,37.17
2,relu,AdamW,[32],Dane2_standardise,0.000494,0.000237,0.000392,410,45.8
3,relu,AdamW,[32],Dane2_standardise,0.005046,0.002963,0.004011,73,9.07
4,relu,AdamW,[32],Dane2_standardise,0.007183,0.003823,0.00507,60,7.46
5,relu,AdamW,[32],Dane2_standardise,0.00061,0.000572,0.000395,238,26.88
6,relu,AdamW,[32],Dane2_standardise,0.002046,0.000937,0.001646,84,10.17
7,relu,AdamW,[32],Dane2_standardise,0.008963,0.004344,0.006514,48,6.15
8,relu,AdamW,[32],Dane2_standardise,0.005863,0.003281,0.004227,51,6.47
9,relu,AdamW,[32],Dane2_standardise,0.000685,0.000662,0.000579,331,37.28
10,relu,AdamW,[32],Dane2_standardise,0.000863,0.00077,0.001053,263,29.58
1,relu,AdamW,[32],Dane2_raw,0.001445,0.000719,0.000895,498,55.56
2,relu,AdamW,[32],Dane2_raw,0.002042,0.001226,0.00135,391,43.74
3,relu,AdamW,[32],Dane2_raw,0.007766,0.006197,0.007028,133,15.52
4,relu,AdamW,[32],Dane2_raw,0.006581,0.005371,0.005725,107,12.66
5,relu,AdamW,[32],Dane2_raw,0.000905,0.000648,0.000728,453,50.57
6,relu,AdamW,[32],Dane2_raw,0.001759,0.00083,0.001385,329,37.45
7,relu,AdamW,[32],Dane2_raw,0.002283,0.001623,0.00181,245,28.61
8,relu,AdamW,[32],Dane2_raw,0.00618,0.004834,0.005505,169,20.09
9,relu,AdamW,[32],Dane2_raw,0.007985,0.00646,0.007212,126,14.83
10,relu,AdamW,[32],Dane2_raw,0.002413,0.001744,0.001846,385,43.21
1,relu,AdamW,"[32, 16]",Dane1_standardise,0.475618,0.472383,0.464281,11,2.63
2,relu,AdamW,"[32, 16]",Dane1_standardise,0.458424,0.499355,0.458578,11,4.56
3,relu,AdamW,"[32, 16]",Dane1_standardise,0.466591,0.496147,0.465321,11,2.61
4,relu,AdamW,"[32, 16]",Dane1_standardise,0.500938,0.485974,0.483988,11,2.44
5,relu,AdamW,"[32, 16]",Dane1_standardise,0.45968,0.489598,0.456844,11,2.72
6,relu,AdamW,"[32, 16]",Dane1_standardise,0.458582,0.502204,0.458537,11,2.53
7,relu,AdamW,"[32, 16]",Dane1_standardise,0.459868,0.5016,0.460689,11,2.61
8,relu,AdamW,"[32, 16]",Dane1_standardise,0.460284,0.498849,0.458811,11,2.77
9,relu,AdamW,"[32, 16]",Dane1_standardise,0.462629,0.482092,0.456467,11,2.74
10,relu,AdamW,"[32, 16]",Dane1_standardise,0.458438,0.495467,0.457532,11,2.77
1,relu,AdamW,"[32, 16]",Dane1_raw,0.217868,0.184024,0.212347,121,16.64
2,relu,AdamW,"[32, 16]",Dane1_raw,0.448097,0.502187,0.449996,18,3.41
3,relu,AdamW,"[32, 16]",Dane1_raw,0.450803,0.502897,0.452904,15,3.01
4,relu,AdamW,"[32, 16]",Dane1_raw,0.193878,0.201737,0.201496,108,15.06
5,relu,AdamW,"[32, 16]",Dane1_raw,0.467207,0.501058,0.466522,11,2.45
6,relu,AdamW,"[32, 16]",Dane1_raw,0.206568,0.181991,0.20702,146,19.91
7,relu,AdamW,"[32, 16]",Dane1_raw,0.603249,0.493293,0.567666,11,2.51
8,relu,AdamW,"[32, 16]",Dane1_raw,0.184255,0.174928,0.189806,168,22.88
